Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.31,0.9099999999999999,0.4079252727039724
75% Corpus,10,0.31,symmetric,0.3783958445986731
75% Corpus,10,0.61,0.01,0.3263958946267338
75% Corpus,10,0.61,0.31,0.31826759148759864
75% Corpus,10,0.61,0.61,0.4208124171168576
75% Corpus,10,0.61,0.9099999999999999,0.4440462549110409
75% Corpus,10,0.61,symmetric,0.29847808368643824
75% Corpus,10,0.9099999999999999,0.01,0.2936739775535242
75% Corpus,10,0.9099999999999999,0.31,0.33588520373727454
75% Corpus,10,0.9099999999999999,0.61,0.39239127178011296
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.4832963221420856
75% Corpus,10,0.9099999999999999,symmetric,0.3294814278955475
75% Corpus,10,symmetric,0.01,0.3343366808118859
75% Corpus,10,symmetric,0.31,0.41136562717657543
75% Corpus,10,symmetric,0.61,0.5005122508241534
75% Corpus,10,symmetric,0.9099999999999999,0.45179707999385477
75% Corpus,10,symmetric,symmetric,0.37562655062812006
75% Corpus,10,asymmetric,0.01,0.31861463219954467
75% Corpus,10,asymmetric,0.31,0.5117734459000669
75% Corpus,10,asymmetric,0.61,0.49989265269516325
75% Corpus,10,asymmetric,0.9099999999999999,0.45891505421996603
75% Corpus,10,asymmetric,symmetric,0.4780375873128661
100% Corpus,2,0.01,0.01,0.29733223096696526
100% Corpus,2,0.01,0.31,0.27801428454451504
100% Corpus,2,0.01,0.61,0.3246356542944055
100% Corpus,2,0.01,0.9099999999999999,0.31498228187807303
100% Corpus,2,0.01,symmetric,0.2989010814577022
100% Corpus,2,0.31,0.01,0.2662469691022339
100% Corpus,2,0.31,0.31,0.31391247297675073
100% Corpus,2,0.31,0.61,0.326015499502739
100% Corpus,2,0.31,0.9099999999999999,0.2805167416653461
100% Corpus,2,0.31,symmetric,0.3132543734624873
100% Corpus,2,0.61,0.01,0.31654443070218596
100% Corpus,2,0.61,0.31,0.34641129404763793
100% Corpus,2,0.61,0.61,0.3513980344497207
100% Corpus,2,0.61,0.9099999999999999,0.3474131954206978
100% Corpus,2,0.61,symmetric,0.3468262713876894
100% Corpus,2,0.9099999999999999,0.01,0.30939084740337586
100% Corpus,2,0.9099999999999999,0.31,0.3258624678324025
100% Corpus,2,0.9099999999999999,0.61,0.36753433547474434
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.36127406517515803
100% Corpus,2,0.9099999999999999,symmetric,0.3653903621055268
100% Corpus,2,symmetric,0.01,0.2766394517055704
100% Corpus,2,symmetric,0.31,0.32755305896078407
100% Corpus,2,symmetric,0.61,0.3510136121842269
100% Corpus,2,symmetric,0.9099999999999999,0.33932171808759704
100% Corpus,2,symmetric,symmetric,0.3335480957706336
100% Corpus,2,asymmetric,0.01,0.29314406954399275
